text,description,explanation
consequence,결과,Every decision has a consequence that follows afterward.
consistent,일관된,She is consistent in her work quality and attendance.
construct,건설하다,Workers constructed the new bridge in just eight months.
consume,소비하다,He consumes too much caffeine during busy work periods.
contribute,기여하다,She contributes ideas to every team meeting she attends.
convince,설득하다,He convinced his manager to try the new approach.
cooperate,협력하다,The two departments cooperated to complete the annual report.
cope,대처하다,She coped well with the pressure of the busy season.
cover,다루다,The article covered several important topics in detail.
criticize,비판하다,He criticized the plan but also offered useful alternatives.
currency,통화,The local currency is accepted at most tourist shops.
decline,거절하다,She declined the invitation due to a prior commitment.
dedicate,헌신하다,He dedicated three years to mastering the skill of calligraphy.
demonstrate,시연하다,She demonstrated how to use the new software step by step.
depend,의존하다,The success of the event depends on good weather conditions.
deposit,입금하다,He deposited his paycheck into his savings account.
detail,세부 사항,She explained every detail of the project clearly to the team.
detect,감지하다,The alarm system detected an unusual sound in the building.
digital,디지털의,Most young people prefer digital communication over phone calls.
distribute,배포하다,She distributed the handouts before the presentation began.
document,기록하다,He documented all the changes made to the original design.
dominant,지배적인,English has become the dominant language in global business.
draft,초안을 작성하다,She drafted the proposal before sending it to her manager.
duration,지속 시간,The duration of the flight was about eleven hours in total.
efficient,효율적인,An efficient worker completes tasks quickly without making errors.
emerge,나타나다,A new trend emerged in the fashion industry this spring.
emotion,감정,She expressed her emotions freely through her diary writing.
enable,가능하게 하다,New technology enables people to work from anywhere easily.
engage,참여하다,He engaged with the audience during the interactive workshop.
enhance,향상시키다,Regular feedback enhances the quality of your writing over time.
entire,전체의,She spent the entire afternoon preparing for the presentation.
estimate,추정하다,He estimated that the project would take about six weeks.
ethical,윤리적인,It is important to make ethical decisions in the workplace.
evidence,증거,She provided strong evidence to support her argument.
evolve,진화하다,The company's strategy has evolved significantly over the years.
exchange,교환하다,They exchanged contact information after the networking event.
exclude,제외하다,He excluded irrelevant data from the final analysis report.
execute,실행하다,She executed the plan exactly as it had been discussed.
exhibit,전시하다,The museum exhibits works from both local and international artists.
exist,존재하다,A small café exists at the corner of the street still.
expect,기대하다,She expected a reply within twenty four hours of sending the email.
expose,노출시키다,Traveling abroad exposed him to many different cultures.
external,외부의,The report was reviewed by an external consultant last week.
extract,추출하다,She extracted the key points from the long research document.
factor,요소,Many factors affect the final result of the experiment.
flexible,유연한,A flexible mindset helps you adapt to unexpected situations.
focus,집중하다,He focused on improving one skill before moving to the next.
forecast,예측하다,The analyst forecasted strong growth for the company next year.
formal,공식적인,A formal dress code is required for the award ceremony.
foundation,기반,A strong foundation in grammar helps you write more clearly.
function,기능하다,The machine functions well even after years of regular use.
fundamental,근본적인,Understanding the fundamentals is essential before advancing further.
global,세계적인,Climate change is a global issue that affects every country.
goal,목표,She set a clear goal and worked toward it every day.
grade,등급을 매기다,The professor graded all assignments before the end of the week.
gradually,점차적으로,Her confidence gradually increased as she gained more experience.
grant,허락하다,The university granted him a scholarship for his academic work.
highlight,강조하다,She highlighted the most important sections of the report.
impact,영향,The new policy had a significant impact on employee morale.
implement,시행하다,The manager implemented new procedures to improve efficiency.
imply,암시하다,Her silence implied that she disagreed with the proposal.
income,소득,His monthly income increased after he changed companies.
influence,영향력,She has a strong influence on her team's overall attitude.
inform,알리다,He informed the team about the schedule change by email.
initiative,주도권,She took the initiative and organized the charity fundraiser.
innovate,혁신하다,The company constantly innovates to stay ahead of competitors.
input,투입,His input during the meeting helped improve the final design.
inspire,영감을 주다,The documentary inspired her to pursue a career in conservation.
integrate,통합하다,He integrated feedback from users into the updated version.
interact,상호작용하다,She interacts well with clients from many different backgrounds.
interpret,해석하다,He interpreted the data in a way that surprised the team.
invest,투자하다,She invested time in learning new software during the holiday.
involve,관여하다,The project involved over twenty people from different teams.
issue,발행하다,The government issued new regulations for online businesses.
justify,정당화하다,She justified her decision with clear and logical reasoning.
label,분류하다,He labeled all the boxes clearly before the office move.
launch,출시하다,The startup launched its first product after two years of work.
lead,이끌다,She leads the team with confidence and clear direction.
link,연결하다,He linked the two ideas together in his final paragraph.
locate,위치를 찾다,She located the missing file in an old backup folder.
manage,관리하다,He managed the entire project with a small but capable team.
mention,언급하다,She mentioned the issue briefly during the morning briefing.
merge,합병하다,The two companies merged to form a larger organization.
minimize,최소화하다,He minimized distractions by turning off his phone during work.
motivate,동기 부여하다,A good leader motivates their team even during difficult times.
navigate,탐색하다,She navigated the complex process with patience and skill.
negotiate,협상하다,He negotiated a better price for the office supplies order.
network,네트워크를 형성하다,She networked actively at the industry conference last month.
notify,알리다,Please notify us if you need to cancel your appointment.
observe,관찰하다,He observed the team's workflow before suggesting any changes.
obtain,획득하다,She obtained permission before using the images in the report.
organize,정리하다,He organized the files into clearly labeled folders by topic.
outline,개요를 작성하다,She outlined the main points before writing the full essay.
overcome,극복하다,He overcame his hesitation and delivered a confident presentation.
participate,참여하다,She participated in several workshops to develop new skills.
perceive,인식하다,He perceived the change in the team's attitude during the meeting.
persist,지속하다,She persisted through the difficulties and completed the project on time.
persuade,설득하다,He persuaded the client to extend the deadline by one week.
predict,예측하다,She predicted the outcome based on previous data and experience.
phase,단계를 나누다,He phased the rollout to reduce the risk of major disruptions.
