text,description,explanation
abandon,포기하다,She abandoned her plan when it became too difficult.
absorb,흡수하다,The sponge absorbs water quickly.
accurate,정확한,The weather forecast was surprisingly accurate.
achieve,달성하다,He achieved his dream of becoming a doctor.
adapt,적응하다,She adapted well to her new work environment.
admit,인정하다,He admitted that he made a mistake.
affect,영향을 미치다,The weather affects my mood a lot.
agree,동의하다,They agreed to meet at the cafe at noon.
allow,허락하다,The teacher allowed students to use dictionaries.
amount,양,She drank a large amount of water after exercise.
analyze,분석하다,He analyzed the data before writing the report.
apologize,사과하다,She apologized for being late to the meeting.
appear,나타나다,A rainbow appeared after the rain stopped.
apply,지원하다,He applied for a job at a technology company.
argue,논쟁하다,They argued about which movie to watch.
assign,할당하다,The teacher assigned homework for the weekend.
assist,돕다,She assisted the new employee with his tasks.
attach,첨부하다,Please attach the file before sending the email.
attempt,시도하다,He attempted to fix the computer by himself.
attend,참석하다,She attended the conference in Seoul last week.
attract,끌어당기다,The colorful display attracted many customers.
balance,균형,She maintains a good balance between work and life.
behave,행동하다,Children should behave well in public places.
belong,속하다,This jacket belongs to my older brother.
blame,비난하다,He blamed the traffic for being late to work.
block,막다,A fallen tree blocked the road after the storm.
carry,운반하다,She carried a heavy bag to the office.
cause,원인이 되다,Stress can cause many health problems.
change,변화시키다,She changed her hairstyle for the new season.
charge,청구하다,The hotel charged extra for the late checkout.
choose,선택하다,He chose the blue shirt for the interview.
claim,주장하다,She claimed that she finished the work on time.
collect,수집하다,He collects old coins as a hobby.
combine,결합하다,She combined two recipes to make a new dish.
compare,비교하다,He compared prices at different stores before buying.
compete,경쟁하다,The students competed for the top prize.
complete,완료하다,She completed the project two days before the deadline.
confirm,확인하다,Please confirm your reservation by tomorrow morning.
connect,연결하다,She connected her laptop to the office printer.
continue,계속하다,He continued working even after everyone went home.
control,통제하다,She controlled her emotions during the argument.
correct,수정하다,He corrected all the errors in the document.
create,창조하다,She created a beautiful design for the new logo.
decrease,감소하다,The temperature decreased sharply overnight.
define,정의하다,Can you define the word in your own words?
deliver,배달하다,The package was delivered to the wrong address.
demand,요구하다,The customer demanded a full refund for the product.
deny,부인하다,He denied taking the money from the drawer.
design,설계하다,She designed a new layout for the company website.
determine,결정하다,Hard work determines your level of success.
divide,나누다,He divided the pizza into eight equal slices.
doubt,의심하다,She doubted whether the information was correct.
earn,벌다,He earns a good salary at his new company.
eliminate,제거하다,She eliminated unnecessary steps from the process.
emphasize,강조하다,The teacher emphasized the importance of practice.
encounter,마주치다,He encountered an old friend at the supermarket.
ensure,보장하다,Please ensure that all doors are locked at night.
establish,설립하다,She established her own business at age thirty.
evaluate,평가하다,The manager evaluated each employee's performance.
examine,검사하다,The doctor examined the patient carefully.
expand,확장하다,The company plans to expand into new markets.
express,표현하다,She expressed her feelings through her paintings.
extend,연장하다,He extended his vacation by three more days.
face,직면하다,She faced many challenges in her first year abroad.
facilitate,촉진하다,Good tools facilitate faster and better work.
feature,특징으로 하다,The new phone features a much better camera.
follow,따르다,He follows a strict routine every morning.
gain,얻다,She gained a lot of experience from the internship.
generate,발생시키다,The solar panels generate electricity from sunlight.
identify,확인하다,He identified the problem within a few minutes.
imagine,상상하다,She imagined what life would be like in Paris.
implement,실행하다,The company implemented a new policy last month.
include,포함하다,The price includes breakfast and dinner.
increase,증가하다,Sales increased significantly during the holiday season.
indicate,나타내다,The sign indicates that parking is not allowed here.
introduce,소개하다,She introduced herself to the new team members.
investigate,조사하다,The police investigated the cause of the accident.
limit,제한하다,He limited his screen time to two hours a day.
maintain,유지하다,She maintains a healthy diet and regular exercise.
measure,측정하다,He measured the room before buying new furniture.
modify,수정하다,She modified the report based on her manager's feedback.
monitor,감시하다,He monitors his health with a fitness tracker.
obtain,얻다,She obtained a visa to study in Canada.
offer,제안하다,The company offered him a higher salary.
operate,작동하다,He learned how to operate the new machine.
overcome,극복하다,She overcame her fear of public speaking.
participate,참가하다,He participated in a marathon for the first time.
perform,수행하다,She performed well in all her exams this semester.
permit,허용하다,Smoking is not permitted inside the building.
point,가리키다,He pointed to the correct answer on the board.
predict,예측하다,She predicted that it would rain in the afternoon.
preserve,보존하다,We must preserve natural resources for the future.
produce,생산하다,The factory produces about five hundred cars per day.
promote,촉진하다,She was promoted to manager after three years.
propose,제안하다,He proposed a new idea during the team meeting.
publish,출판하다,She published her first novel at the age of thirty.
pursue,추구하다,He decided to pursue a career in engineering.
qualify,자격을 얻다,She qualified for the national swimming competition.
react,반응하다,She reacted calmly to the unexpected news during the meeting.
region,지역,He moved to a different region to expand his professional network.
