text,description,explanation
:ls,버퍼 목록 보기,
:bn,다음 버퍼로 전환 (buffer next),
:bp,이전 버퍼로 전환 (buffer previous),
:bf,첫 번째 버퍼로 전환 (buffer first),
:bl,마지막 버퍼로 전환 (buffer last),
:b#,이전에 보던 버퍼로 토글,
:e 파일명,파일 열기 → 새 버퍼 생성,
:enew,새 빈 버퍼 생성,
:badd 파일명,버퍼만 추가 (창에는 표시 안 됨),
:bd,현재 버퍼 삭제,
:bd!,현재 버퍼 강제 삭제 (저장 안 해도),
:%bd,모든 버퍼 삭제,
:split,현재 창을 수평 분할,
:vsplit,현재 창을 수직 분할,
:new,새 창 + 새 빈 버퍼 (수평),
:vnew,새 창 + 새 빈 버퍼 (수직),
<C-w>h,왼쪽 창으로 이동,
<C-w>j,아래 창으로 이동,
<C-w>k,위 창으로 이동,
<C-w>l,오른쪽 창으로 이동,
<C-w>w,다음 창으로 순환 이동,
<C-w>p,이전 창으로 이동,
<C-w>=,모든 창 크기 균등하게,
<C-w>>,창 너비를 오른쪽으로 늘리기,
<C-w><,창 너비를 왼쪽으로 줄이기,
<C-w>+,창 높이 증가,
<C-w>-,창 높이 감소,
:only,현재 창만 남기고 나머지 닫기,
<C-w>o,현재 창만 남기기 (:only 와 동일),
<C-w>q,현재 창 닫기,
<C-w>H,현재 창을 왼쪽 전체 열로 이동,
<C-w>J,현재 창을 아래 전체 행으로 이동,
<C-w>K,현재 창을 위 전체 행으로 이동,
<C-w>L,현재 창을 오른쪽 전체 열로 이동,
<C-w>r,창 위치 회전,
<C-w>x,인접한 창과 위치 교환,
:tabnew,새 탭 열기,
:tabc,현재 탭 닫기 (tabclose),
:tabo,현재 탭만 남기고 모두 닫기 (tabonly),
:tabn,다음 탭으로 이동 (tab next),
:tabp,이전 탭으로 이동 (tab previous),
gt,다음 탭으로 이동 (단축키),
gT,이전 탭으로 이동 (단축키),
3gt,3번 탭으로 바로 이동,
:tabm 0,현재 탭을 첫 번째 위치로 이동,
yy,현재 줄 복사 (기본 레지스터),
p,커서 뒤에 붙여넣기,
P,커서 앞에 붙여넣기,
"""ayy",a 레지스터에 현재 줄 복사,
"""ap",a 레지스터 내용 붙여넣기,
"""Ayy",A 레지스터에 현재 줄 추가 (append),
"""+y",시스템 클립보드에 복사,
"""+p",시스템 클립보드에서 붙여넣기,
:reg,모든 레지스터 내용 보기,
:reg a,a 레지스터 내용만 보기,
ma,현재 위치를 a 마크로 설정,
mA,전역 마크 A 설정 (파일 간 이동 가능),
'a,마크 a가 있는 줄의 첫 문자로 이동,
`a,마크 a의 정확한 위치로 이동,
'.,마지막 편집 위치로 이동,
:marks,모든 마크 목록 보기,
:delmarks a,a 마크 삭제,
:delmarks!,로컬 마크 전체 삭제,
qa,a 레지스터에 매크로 녹화 시작,
q,매크로 녹화 종료,
@a,a 매크로 한 번 실행,
@@,마지막 실행한 매크로 다시 실행,
10@a,a 매크로를 10번 반복 실행,
":5,10normal @a",5~10번 줄에 a 매크로 실행,
<C-o>,점프 목록에서 이전 위치로 이동 (older),
<C-i>,점프 목록에서 다음 위치로 이동,
:jumps,점프 목록 보기,
gg,파일 맨 처음으로 이동,
G,파일 맨 끝으로 이동,
%,현재 위치의 매칭 괄호로 이동,
n,다음 검색 결과로 이동,
N,이전 검색 결과로 이동,
*,커서 아래 단어를 앞방향으로 검색,
#,커서 아래 단어를 역방향으로 검색,
g,이전 변경 위치로 이동,
"g,",다음 변경 위치로 이동,
:changes,변경 목록 보기,
:copen,quickfix 창 열기,
:cclose,quickfix 창 닫기,
:cn,quickfix 다음 항목으로 이동,
:cp,quickfix 이전 항목으로 이동,
:cfirst,quickfix 첫 번째 항목으로 이동,
:clast,quickfix 마지막 항목으로 이동,
:lopen,location list 창 열기,
:lclose,location list 창 닫기,
:ln,location list 다음 항목,
:lp,location list 이전 항목,
:set foldmethod=manual,수동 접기 방식 설정,
:set foldmethod=indent,들여쓰기 기준 접기 설정,
:set foldmethod=syntax,문법 기준 접기 설정,
zf,Visual 선택 영역을 접기로 생성,
zo,현재 접기 펼치기 (open),
zc,현재 접기 닫기 (close),
za,현재 접기 토글 (toggle),
zO,재귀적으로 모두 펼치기,
zC,재귀적으로 모두 접기,
zR,파일의 모든 접기 펼치기,
zM,파일의 모든 접기 닫기,
zj,다음 접기로 이동,
zk,이전 접기로 이동,
zd,현재 접기 삭제,
zE,모든 접기 삭제,
:mksession session.vim,현재 작업 환경을 세션 파일로 저장,
:mksession! session.vim,세션 파일 덮어쓰기,
:source session.vim,저장된 세션 불러오기,
u,undo (실행 취소),
<C-r>,redo (다시 실행),
U,현재 줄 전체를 원래대로 되돌리기,
:earlier 5m,5분 전 상태로 되돌리기,
:earlier 10s,10초 전 상태로 되돌리기,
:later 5m,5분 후 상태로 이동,
g-,이전 텍스트 상태로 이동 (undo 브랜치),
g+,다음 텍스트 상태로 이동 (undo 브랜치),
:undolist,undo 목록 보기,
v,문자 단위 비주얼 선택 모드,
V,줄 단위 비주얼 선택 모드,
<C-v>,블록(세로) 단위 비주얼 선택 모드,
gv,이전에 선택했던 영역 다시 선택,
diw,단어 삭제 (delete inner word),
ciw,단어 변경 후 insert 모드 진입 (change inner word),
yiw,단어 복사 (yank inner word),
viw,단어 선택 (visual inner word),
"di""",쌍따옴표 안의 내용 삭제,
ci(,소괄호 안의 내용 변경,
da{,중괄호와 내용 모두 삭제,
yit,HTML/XML 태그 안의 내용 복사,
dap,현재 문단 삭제 (delete around paragraph),
cis,현재 문장 변경 (change inner sentence),
q:,명령 히스토리 창 열기,
:%s/old/new/g,파일 전체에서 old를 new로 치환,
:%s/old/new/gc,파일 전체 치환 (각각 확인),
":5,10s/old/new/g",5~10번 줄에서만 치환,
:%s/old/new/gi,대소문자 무시하고 전체 치환,
:!ls,외부 명령 실행 (ls 예시),
:r !date,외부 명령 결과를 커서 아래에 삽입,
:w !sudo tee %,sudo 권한으로 파일 저장,
<C-w>,명령 모드에서 단어 삭제,
<C-u>,명령 모드에서 줄 전체 삭제,
"<C-r>""",명령 모드에서 기본 레지스터 내용 붙여넣기,
