text,description,explanation
Press any key to continue.,계속하려면 아무 키나 누르세요. | 프로그램 실행 중 다음 단계로 넘어갈 때 표시,
Are you sure you want to delete this file?,이 파일을 삭제하시겠습니까? | 파일 삭제 전 확인 메시지,
Your password has been changed successfully.,비밀번호가 성공적으로 변경되었습니다. | 비밀번호 변경 완료 알림,
Access denied. You do not have permission to perform this action.,액세스가 거부되었습니다. 이 작업을 수행할 권한이 없습니다. | 권한 부족 시 표시되는 오류,
The file already exists. Do you want to replace it?,파일이 이미 존재합니다. 덮어쓰시겠습니까? | 파일 복사/이동 시 중복 확인,
An unexpected error has occurred. Please try again later.,예기치 않은 오류가 발생했습니다. 나중에 다시 시도하세요. | 일반 오류 메시지,
Your session has expired. Please log in again.,세션이 만료되었습니다. 다시 로그인하세요. | 로그인 세션 시간 초과,
No internet connection. Check your network settings.,인터넷 연결 없음. 네트워크 설정을 확인하세요. | 네트워크 연결 오류,
The application is not responding.,응용 프로그램이 응답하지 않습니다. | 프로그램이 멈췄을 때 표시,
Do you want to save changes before closing?,닫기 전에 변경 내용을 저장하시겠습니까? | 저장 안 된 내용이 있을 때 표시,
File not found.,파일을 찾을 수 없습니다. | 지정한 경로에 파일이 없을 때 표시,
Downloading updates... Please wait.,업데이트 다운로드 중... 잠시 기다려 주세요. | 업데이트 설치 중 표시,
Restart required to complete the installation.,설치를 완료하려면 재시작이 필요합니다. | 프로그램 설치 후 재시작 요청,
Low disk space. Free up some space to continue.,디스크 공간이 부족합니다. 계속하려면 공간을 확보하세요. | 저장 공간 부족 경고,
Copy and paste this link into your browser.,이 링크를 브라우저에 복사하여 붙여넣으세요. | 링크를 직접 입력해야 할 때 안내,
Your account has been locked due to too many failed attempts.,로그인 시도 횟수 초과로 계정이 잠겼습니다. | 보안상 계정 잠금 안내,
Enable two-factor authentication for added security.,보안 강화를 위해 2단계 인증을 활성화하세요. | 2단계 인증 권장 안내,
The update is ready to install.,업데이트 설치 준비가 완료되었습니다. | 업데이트 대기 상태 알림,
Drag and drop files here to upload.,파일을 여기에 끌어다 놓으면 업로드됩니다. | 파일 업로드 안내,
Click here to unsubscribe from this mailing list.,이 메일링 리스트에서 수신 취소하려면 여기를 클릭하세요. | 이메일 수신 취소 안내,
Your free trial has expired.,무료 체험 기간이 만료되었습니다. | 무료 버전 만료 알림,
Loading... Please wait.,로딩 중... 잠시 기다려 주세요. | 콘텐츠나 앱 불러오는 중 표시,
This website uses cookies to improve your experience.,이 웹사이트는 경험 향상을 위해 쿠키를 사용합니다. | 쿠키 사용 동의 안내,
Invalid username or password.,잘못된 사용자 이름 또는 비밀번호입니다. | 로그인 실패 시 표시,
Your cart is empty.,장바구니가 비어 있습니다. | 쇼핑몰 장바구니 비어있을 때 표시,
Page not found. The requested URL was not found on this server.,페이지를 찾을 수 없습니다. 요청한 URL이 서버에 없습니다. | 404 오류 메시지,
The server is temporarily unavailable. Please try again later.,서버를 일시적으로 사용할 수 없습니다. 나중에 다시 시도하세요. | 503 서버 오류,
Your subscription has been renewed successfully.,구독이 성공적으로 갱신되었습니다. | 구독 자동 갱신 완료 알림,
Are you sure you want to log out?,로그아웃하시겠습니까? | 로그아웃 전 확인 메시지,
Select all files in the current folder.,현재 폴더의 모든 파일을 선택합니다. | Ctrl+A 기능 설명,
The backup was completed successfully.,백업이 성공적으로 완료되었습니다. | 백업 완료 알림,
Connection timed out. Please check your internet connection.,연결 시간이 초과되었습니다. 인터넷 연결을 확인하세요. | 연결 타임아웃 오류,
Right-click to see more options.,추가 옵션을 보려면 마우스 오른쪽 버튼을 클릭하세요. | 컨텍스트 메뉴 안내,
